,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure
3959,Unprovoked,surfing,M,26,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y,1800,Not Determined,19220104,"AUSTRALIA New South Wales Stockton Beach, Newcastle",-32.885101,151.7239497,24.041155660377356,12.7,12.665633608815426,1016.2291060291059
3960,Unprovoked,swimming,M,20,Survived,N,9999,Not Determined,19211211,AUSTRALIA Queensland Fitzroy River at  Rockhampton,-23.3786203,150.5088889,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3961,Unprovoked,diving,M,27,Lacerations to right arm & chest,N,9999,Not Determined,19211012,AUSTRALIA Queensland Off Hinchinbrook Island,-18.3362903,146.2258805,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3962,Unprovoked,diving,M,22,"Left thigh bitten, FATAL",Y,1800,Not Determined,19211004,AUSTRALIA Queensland Barrier Reef,-18.2870668,147.6991918,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3963,Provoked,fishing,M,27,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,N,9999,"Blue shark, 4' ",19875253,ENGLAND Dorset Weymouth,50.6099306,-2.4546253,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3964,Unprovoked,swimming,M,21,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Y,1500,Not Determined,19210828,"PHILIPPINES Luzon Island Fort Frank, Manila Bay",14.2670897,120.6145961,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3965,Unprovoked,wading,M,27,Lacerations to leg & hand,N,9999,4' to 5' shark,19201129,AUSTRALIA Western Australia Bunbury,-33.3270366,115.6408605,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3966,Unprovoked,dived,M,27,"FATAL, large wound on thigh",Y,1530,Comrades saw shark's tail appear about 5' away,19210822,HAITI Cape Haitien Marine Dock,19.7593423,-72.1951978,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3967,Unprovoked,standing,M,27,"Minor injuries to leg, hand & fingers",N,9999,"15* to 24"" dog shark",19201122,AUSTRALIA Western Australia Cottesloe Beach,-31.9938622,115.7510477,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3968,Unprovoked,swimming,M,13,Knee & thigh bitten,N,1500,Not Determined,19200629,"USA Florida Englewood Beach, Charlotte County",26.9250629,-82.3606349,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
