,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
1297,21-May-2011,Unprovoked,spearfishing,M,28,"Thigh bitten, FATAL",Y,1200,Zambesi shark,20110521,SOUTH AFRICA KwaZulu-Natal Levan Point,32.2675423,-110.9433522
1298,13-May-2011,Unprovoked,surfing,M,86,Lacerations to left foot & ankle,N,1530,Not Determined,20110513,"USA Florida Ponte Vedra Beach, St Johns County",30.2400058,-81.3852595
1299,21-May-2011,Unprovoked,boarding,M,15,"Thigh bitten, FATAL",Y,1100," Tiger shark, 2.8m",20110521,NEW CALEDONIA North Province Kendec,-20.6666667,164.25
1300,13-May-2011,Unprovoked,surfing,M,37,Minor injury; puncture wounds to calf,N,0630,Not Determined,20110513,"USA Florida Ormond Beach, Volusia County",29.2858129,-81.0558894
1301,10-May-2011,Provoked,fishing,M,,Laceration to arm by captive shark PROVOKED INCIDENT,N,9999,"Sandbar shark, 8'",20110510,USA Florida Miami,25.7616798,-80.1917902
1303,04-May-2011,Unprovoked,spearfishing,M,37,Calf bitten,N,9999,Not Determined,20110504,SOUTH AFRICA KwaZulu-Natal Palm Beach,-30.9784875,30.2714642
1304,26-Apr-2011,Unprovoked,spearfishing,M,32,Calf bitten,N,9999,"Bull shark, 12'",20110426,"USA Florida Riviera Beach, Palm Beach County",26.767379,-80.0699693
1305,23-Apr-2011,Unprovoked,washing,M,17,Heel bitten,N,1500,"reef shark, 1.5m",20110423,AUSTRALIA Western Australia Red Bluffs,-18.8,126.4666667
1306,22-Apr-2011,Unprovoked,surfing,M,49,Minor puncture wounds,N,1530,1' to 2' shark,20110422,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
1307,16-Apr-2011,Unprovoked,surfing,M,41,Puncture to left hand,N,1800,possibly a bronze whaler shark,20110416,NEW ZEALAND South Island Snapper Point,34.0443373,-118.4201038
1308,13-Apr-2011,Unprovoked,surfing,M,,Lacerations to forearm,N,0800," Bull shark, 2.5 m",20110412,INDONESIA Bali Balian,-8.503113299999999,114.9655596
1309,08-Apr-2011,Unprovoked,diving,M,27,Minor injuries to left leg and hand,N,1800,Not Determined,20110408,"FIJI Vitu Levu Malake Island, Ra Province",-17.320139,178.1413387
1311,24-Mar-2011,Unprovoked,swimming,F,,Lower leg & foot bitten,N,9999,Bull shark,20110324,"MEXICO Quintana Roo Gaviotas Beach, Cancun",21.1333959,-86.7421964
1312,23-Mar-2011,Unprovoked,surfing,M,48,Severe injury to left forearm,N,1745,"Bull shark, 2.5m",20110323,AUSTRALIA New South Wales Crowdy Head,-31.8401787,152.7508448
1315,16-Mar-2011,Unprovoked,wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,1300,3 m to 4 m shark,20110316,"AUSTRALIA New South Wales Jimmys Beach, Port Stephens",-32.6790132,152.1762756
1317,10-Mar-2011,Unprovoked,surfing,M,,"No injury, surboard broken",N,9999,Not Determined,20110310,"AUSTRALIA New South Wales Tallow Beach, Byron Bay",-28.6538963,153.6272755
1319,23-Feb-2011,Unprovoked,spearfishing,M,21,Lacerations to left forearm,N,1200,1.5 m shark,20110223,"NEW CALEDONIA  Loyalty Islands Bay of Bweedro, Ouvéa",-20.6543997,166.5353028
1320,18-Feb-2011,Unprovoked,surfing,M,32,Left leg severed at the knee,N,1500,Not Determined,20110219,REUNION Saint Gilles  Trois-Roches,-21.049672,55.2220787
1321,17-Feb-2011,Unprovoked,diving,M,49,FATAL,Y,1820,White shark x 2,20110217,AUSTRALIA South Australia Off Perforated Island near Coffin Bay,-34.726845,135.1582224
1322,13-Feb-2011,Provoked,fishing,M,,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,1040,1 m shark,20110213,AUSTRALIA Queensland Sunshine Beach,-26.4041711,153.1022382
1323,12-Feb-2011,Unprovoked,snorkeling,M,58,Arm bitten,N,1500,Not Determined,20110212,AUSTRALIA Western Australia Exmouth,-21.9323088,114.1278654
1325,02-Feb-2011,Unprovoked,fishing,M,37,Right leg bitten,N,9999,Not Determined,20110202,"SOUTH AFRICA Eastern Cape Province Sundays River Mouth, Port Elizabeth",-33.0836832,25.0637068
1326,31-Jan-2011,Unprovoked,swimming,F,38,"Leg, forearm & hand severely bitten",N,1200,6' shark,20110131,MEXICO Quintana Roo Cancun,21.161908,-86.8515279
1327,28-Jan-2011,Provoked,fishing,M,25,Left eg bitten PROVOKED INCIDENT,N,9999,Not Determined,20110128,MEXICO Colima Revillagigedo Islands,18.8368255,-112.7727754
1328,26-Jan-2011,Unprovoked,diving,M,55,Arm bitten ,N,1500,Caribbean reef shark,20110126,BAHAMAS West End Tiger Beach,0.0,0.0
1330,15-Jan-2011,Unprovoked,surfing,M,16,FATAL,Y,1230,Not Determined,20110115,"SOUTH AFRICA Eastern Cape Province Second Beach, Port St. John's",-31.6409371,29.5299196
1333,26-Dec-2010,Unprovoked,boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,1535,6' shark,20101226,"USA Hawaii  Kahului, Maui",20.8893351,-156.4729469
1334,17-Dec-2010,Unprovoked,surfing,M,,Lacerations to  foot,N,9999,Not Determined,20101217,FIJI Vitu Levu Sigatoka,-18.1416372,177.5074315
1335,11-Dec-2010,Unprovoked,surfing,M,46,Lacerations to right foot,N,1351,Not Determined,20101211,"USA Hawaii Tavares Bay, Maui",20.9217152,-156.3738379
1336,05-Dec-2010,Unprovoked,snorkeling,F,70,FATAL,Y,1200,"Oceanic whitetip shark, 2.5m ",20101205,"EGYPT South Sinai Peninsula Middle Garden, Sharm el-Shiekh",27.956304,34.392363
1338,01-Dec-2010,Unprovoked,snorkeling,M,54,Both arms severely bitten,N,1100,Mako shark ,20101201,"EGYPT South Sinai Peninsula Ras Nasrani, Sharm el-Sheikh",27.9642893,34.4173373
1339,01-Dec-2010,Unprovoked,snorkeling,M,46,Lacerations to right leg,N,1055,Mako shark,20101201,"EGYPT South Sinai Peninsula Ras Nasrani, Sharm el-Sheikh",27.9642893,34.4173373
1340,30-Nov-2010,Unprovoked,snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,1455,"Oceanic whitetip shark, 2.5m, female",20101130,"EGYPT South Sinai Peninsula Coral Bay, Sharm el-Sheikh",27.930153,34.364075
1341,30-Nov-2010,Unprovoked,snorkeling,F,48,Foot and arm bitten,N,1440,"Oceanic whitetip shark, 2.5m, female",20101130,"EGYPT South Sinai Peninsula Coral Bay, Sharm el-Sheikh",27.930153,34.364075
1346,14-Nov-2010,Unprovoked,surfing,M,,Hand bitten ,N,9999,Not Determined,20101114,INDONESIA Bali Balian,-8.503113299999999,114.9655596
1348,30-Oct-2010,Unprovoked,snorkeling,F,20,Torso and left buttock bitten,N,1230,White shark,20101030,AUSTRALIA Western Australia Off Garden Island,-32.2211393,115.6871992
1350,28-Oct-2010,Unprovoked,surfing,M,,No injury to surfer,N,1520,Not Determined,20101028,USA Oregon Florence,43.9826214,-124.099841
1352,23-Oct-2010,Unprovoked,diving,M,30,"No injury to diver, shark bit his video camera",N,1800,"Porbeagle shark, 8' ",20101023,"USA Maine Burnt Cove near Eastport, Washington County",44.9061906,-66.98997849999999
1353,23-Oct-2010,Unprovoked,,M,14,Lacerations to lower right leg,N,9999,Not Determined,20101023,AUSTRALIA Western Australia Wedge Island,-30.8277891,115.1879896
1354,22-Oct-2010,Unprovoked,boarding,M,19,FATAL,Y,0850,"White shark, 14' to 18' ",20101022,"USA California Surf Beach, Vandenberg AFB, Santa Barbara County",34.6831139,-120.6064278
1355,20-Oct-2010,Unprovoked,snorkeling,F,,Multiple lacerations to left leg and foot,N,9999,Not Determined,20101020,EGYPT South Sinai Peninsula Sharm el-Sheikh ,27.9654198,34.3617769
1356,09-Oct-2010,Unprovoked,surfing,M,22,Foot bitten,N,1330,"Bull shark, 1.4m ",20101009,AUSTRALIA New South Wales Mullaway Headland,-30.08060729999999,153.1958504
1358,02-Oct-2010,Unprovoked,surfing,F,,Bitten between left ankle & knee,N,1500,Possibly a 6' lemon shark,20101002,BAHAMAS Abaco Islands Elbow Cay,26.52594,-76.9686267
1359,01-Oct-2010,Unprovoked,surfing,M,,3 lacerations to foot,N,1430,Not Determined,20101001,"SOUTH AFRICA Western Cape Province Melkbaai, Strand",-34.1075151,18.8210006
1360,27-Sep-2010,Unprovoked,surfing,M,29,"No injury, surfboard rammed",N,1600,White shark,20100927,USA Oregon Winchester Bay,43.6770608,-124.1748369
1361,24-Sep-2010,Unprovoked,surfing,M,18,Bite to left ankle and knee,N,1630,Not Determined,20100924,USA Virginia Sandridge Beach,36.7239073,-75.9390662
1362,21-Sep-2010,Unprovoked,swimming,M,29,FATAL,Y,9999,White shark,20100921,SOUTH AFRICA Western Cape Province Between Dyer Island and Pearly Beach,-34.6579728,19.4883811
1363, 13-Sep-2010,Unprovoked,surfing,M,15,Lacerations and puncture wounds to leg and foot,N,1700,2m shark,20100913,AUSTRALIA New South Wales Fraser's Reef,-29.3874961,153.363572
1364,07-Sep-2010,Unprovoked,swimming,M,27,Lacerations to left wrist,N,9999,3' shark,20100907,"USA Florida St. Augustine, St. John's County",29.9012437,-81.31243409999999
1366, 04-Sep-2010,Unprovoked,surfing,M,,"No injury, shark charged surfboard",N,9999,Not Determined,20100904,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
1367,03-Sep-2010,Unprovoked,surfing,M,24,Lacerations to right  hand ,N,1200,Not Determined,20100903,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
1368,03-Sep-2010,Unprovoked,surfing,M,24,Left thigh bitten,N,0900,Not Determined,20100903,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
1371,18-Aug-2010,Unprovoked,boarding,M,10,Minor injuries to foot,N,0900,Not Determined,20100818,USA Florida Crescent Beach St. Johns County,29.76886,-81.2536786
1372,17-Aug-2010,Unprovoked,surfing,M,31,FATAL,Y,0805,White shark,20100817,AUSTRALIA Western Australia Cowaramup Bay,-33.86060250000001,114.9857991
1374,10-Aug-2010,Provoked,fishing,F,,Leg bitten by hooked shark PROVOKED INCIDENT,N,1900,Not Determined,20100810,"AUSTRALIA Queensland Three Mile Creek, Townsville",-19.208941,146.7684223
1375,10-Aug-2010,Unprovoked,swimming,F,16,Lacerations to left lower leg,N,1500,Not Determined,20100810,SOUTH KOREA Jeju Province Jeju Island,33.4890113,126.4983023
1376,08-Aug-2010,Unprovoked,surfing,M,47,Left foot bitten,N,0800,Not Determined,20100808,AUSTRALIA New South Wales Crescent Head,-31.1769749,152.9106663
1377,07-Aug-2010,Unprovoked,surfing,M,25,Left foot bitten,N,1500,Not Determined,20100807,"USA North Carolina Figure Eight Island, Wilmington, New Hanover County",34.2693745,-77.7444928
1381,02-Aug-2010,Unprovoked,standing,F,37,Lacerations to forearm,N,1100,3' to 4' shark,20100802,"USA Florida Micklers Landing, St. Johns County",30.1615592,-81.35737440000001
1382,25-Jul-2010,Unprovoked,standing,M,16,Lacerations to right lower leg,N,9999,4' shark,20100725,"USA South Carolina Isle of Palms, Charleston County",32.8194131,-79.7343791
1383,23-Jul-2010,Unprovoked,surfing,M,20,Left foot bitten,N,1630,Not Determined,20100723,"USA Florida Jacksonville Beach, Duval County",30.2841224,-81.3961338
1384,19-Jul-2010,Unprovoked,swimming,M,10,Minor lacerations to left calf,N,1035,Possibly a small blacktip shark,20100719,USA South Carolina Myrtle Beach,33.6890603,-78.8866943
1385,17-Jul-2010,Unprovoked,swimming,F,13,Lacerations to right forearm,N,1330,"Sandtiger shark, 4' to 5'",20100717,"USA North Carolina Wrightsville Beach, New Hanover County",34.2085036,-77.7963709
1386,17-Jul-2010,Unprovoked,surfing,M,55,Minor lacerations to right foot,N,9999,A small spinner shark,20100717,USA Florida New Smyrna Beach,29.0258191,-80.9269984
1387,16-Jul-2010,Provoked,swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,1915,Angel shark,20100716,"SPAIN Grand Canary Island Sardina del Norte, Gáldar",28.1516863,-15.6962764
1388,16-Jul-2010,Unprovoked,fishing,M,,Leg bitten,N,9999,Not Determined,20100716,USA Texas Galveston,29.3013479,-94.7976958
1389,11-Jul-2010,Provoked,fishing,M,,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,9999,"Nurse shark, juvenile ",20100711,"USA Florida Lauderdale-by-the-Sea, Broward County",26.192028,-80.0964326
1390,04-Jul-2010,Unprovoked,snorkeling,F,21,Left leg bitten,N,9999,Not Determined,20100704,"SOUTH AFRICA KwaZulu-Natal Two Mile Reef, Sodwana Bay",-27.539823,32.6782506
1391,03-Jul-2010,Provoked,fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,1230,"Blue shark, 7'",20100703,USA New York Off Long Island,40.789142,-73.13496099999999
1392,02-Jul-2010,Unprovoked,surfing,M,19,Laceration to left foot,N,1800,4' shark,20100702,"USA California Pismo Beach, San Luis  Obispo County",35.1427533,-120.6412827
1393,02-Jul-2010,Unprovoked,,M,48,"No injury, board bumped by shark",N,1515,8' shark,20100702,"USA California Dog Patch, San Onofre",33.3728077,-117.5656012
1394,27-Jun-2010,Unprovoked,surfing,M,20,Lacerations to right foot,N,9999,"Bull shark, 5'",20100627,"USA Texas Eight Mile Beach, Galveston",29.2532932,-94.89289079999999
1395,25-Jun-2010,Unprovoked,boarding,F,6,Laceration to leg,N,9999,Not Determined,20100625,USA South Carolina Fripp Island,32.317001,-80.4966062
1396,25-Jun-2010,Unprovoked,swimming,F,13,Laceration to left foot,N,1300,Not Determined,20100625,"USA North Carolina Topsail Island, Pender County",34.4696114,-77.4719099
1397,15-Jun-2010,Unprovoked,swimming,M,17,Laceration to left foot,N,1700,1 m shark,20100615,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1398,10-Jun-2010,Unprovoked,boarding,F,18,Lacerations to left calf and foot,N,1230,4' shark,20100610,USA Florida Jacksonville,30.3321838,-81.65565099999999
1399,06-Jun-2010,Unprovoked,surfing,M,40,Severe laceration to right knee,N,1200,Not Determined,20100606,"AUSTRALIA Western Australia Conspicuous Beach, near Walpole",-35.0169764,116.861579
1400,Jun-2010,Unprovoked,surfing,M,20,Lacerations to left foot,N,9999,Not Determined,20100600,"USA Florida Ponte Vedra Beach, St Johns County",30.2400058,-81.3852595
1401,30-May-2010,Provoked,fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,0845,"Lemon shark, 4'",20100530,USA Florida Off Tarpon Springs,28.1461248,-82.7567679
1402,18-May-2010,Unprovoked,rescuing,F,58,Minor laceration to leg,N,1800,20 to 30kg shark,20100518,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1403,18-May-2010,Unprovoked,swimming,F,60,Severe lacerations to left foot,N,1800,20 to 30kg shark,20100518,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1404,18-May-2010,Unprovoked,surfing,M,,Superficial lacerations to lower left leg,N,1630,Not Determined,20100518,AUSTRALIA New South Wales Point Plomer,-31.2834253,152.9616427
1405,03-May-2010,Unprovoked,diving,M,59,Lacerations to arm & chest,N,0930,Not Determined,20100503,"MADAGASCAR Antsiranana Province  Ambatolaoka, Nosy Be Island",-13.240962,48.253424
1406,01-May-2010,Unprovoked,wading,F,10,Minor puncture wounds to right ankle,N,1030,4' shark,20100501,USA Florida New Smyrna Beach,29.0258191,-80.9269984
1407,28-Apr-2010,Provoked,measuring,M,29,Arm bitten PROVOKED INCIDENT ,N,1800,"Lemon shark, 6'",20100428,USA Florida Hanalei Bay,22.2090776,-159.5067583
1408,19-Apr-2010,Unprovoked,surfing,M,68,"No injury, surfboard bitten",N,1600,14' shark,20100419,"USA Hawaii Hanalei Bay, Kauai",22.2090776,-159.5067583
1409,13-Apr-2010,Unprovoked,surfing,M,35,Both feet bitten,N,1000,2 m shark,20100413,"SOUTH AFRICA Eastern Cape Province East Beach, Port Alfred",-33.5977778,26.9052778
1410,04-Apr-2010,Unprovoked,swimming,M,24,Lacerations to left ankle and foot,N,1400,"Oceanic whitetip shark, 6'",20100404,EGYPT Sinai Peninsula Sharm el-Sheikh ,29.5,34.0
1411, 27-Mar-2010,Unprovoked,surfing,M,34,"No injury, board bitten",N,1100,1.5 m shark,20100327,REUNION Saint-Benoit Bittern,-21.037948,55.71740339999999
1412,190Feb-2010,Unprovoked,swimming,M,,Bruised but otherwise unhurt,N,1500,Possibly a blue shark,20100219,NEW ZEALAND South Island Tahunanui Beach,-41.2785932,173.2392251
1413,16-Feb-2010,Unprovoked,surfing,M,,Lacerations to right leg,N,1100,3 m shark,20100216,SOUTH AFRICA Eastern Cape Province Yellow Sands Point,-32.904325,28.074338
1414,15-Feb-2010,Unprovoked,diving,M,19,FATAL,Y,0930,Not Determined,20100215,FIJI Off Vanua Levu Nara Reef,-16.716983,179.896037
1415,13-Feb-2010,Unprovoked,snorkeling,F,60,Lacerations to legs & buttocks,N,1330,2 m shark,20100213,"AUSTRALIA Queensland Dent Island, Whitsundays",-20.3496288,148.9320143
1416,11-Feb-2010,Unprovoked,surfing,M,46,"Minor injury, lacerations to left lower leg",N,0800,"Wobbegong shark, 1.6m",20100211,"AUSTRALIA New South Wales Mona Vale Beach, Sydney",-33.6795811,151.3135485
1418,06-Feb-2010,Unprovoked,boarding,M,18,"No injury, shark & board collided",N,1530,"White shark, 2.5m",20100206,AUSTRALIA New South Wales Turners' Beach,-29.4304387,153.3629052
1419,06-Feb-2010,Provoked,fishing,M,,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,1500,"Spinner shark, 6'",20100206,USA Florida Riviera Beach,26.7753405,-80.0580969
1421,03-Feb-2010,Unprovoked,boarding,M,38,FATAL,Y,1544,Not Determined,20100203,"USA Florida Stuart, Martin County",27.197548,-80.2528257
1422,01-Feb-2010,Provoked,boarding,F,14,Stepped on shark PROVOKED INCIDENT,N,1500,1.5 m shark,20100201,NEW ZEALAND South Island Oreti Beach,-46.4369169,168.2448936
1423,31-Jan-2010,Unprovoked,surfing,M,29,Foot bitten,N,9999,Thought to involve a juvenile hammerhead shark,20100130,"BRAZIL Rio Grande Do Sul Atlantis Beach, near Tramandai",-30.004264,-50.1307567
1424,27-Jan-2010,Unprovoked,surfing,M,,"No injury, surfboard bitten",N,1630,Not Determined,20100127,AUSTRALIA Queensland Archie's Beach,38.80123529999999,-77.0640103
1425,22-Jan-2010,Unprovoked,surfing,M,54,Laceration to bottom of foot,N,1800,Not Determined,20100122,"UNITED ARAB EMIRATES (UAE) Dubai Umm Suqeim Beach, Dubai",25.1483286,55.1945091
1426,22-Jan-2010,Unprovoked,surfing,M,,Lacerations to right hand ,N,0730,Not Determined,20100122,AUSTRALIA Victoria Geelong,-38.1499181,144.3617186
1427,12-Jan-2010,Unprovoked,standing,M,37,FATAL,Y,1515,White shark,20100112,SOUTH AFRICA Western Province Fish Hoek,-34.1340882,18.4187029
1428,09-Jan-2010,Unprovoked,snorkeling,F,9,2 sets of minor lacerations below her right knee,N,9999,"Whitetip reef shark, 1m",20100109,AUSTRALIA Torres Strait Thursday Island,-10.5802361,142.2210964
1429,09-Jan-2010,Unprovoked,no activity,F,,Minor injuries,N,9999,Not Determined,20100109,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1430,09-Jan-2010,Unprovoked,no activity,M,,Right wrist bitten,N,1700,Not Determined,20100109,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1431,09-Jan-2010,Unprovoked,bathing,M,,Left arm bitten twice,N,0645,Not Determined,20100109,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1432,06-Jan-2010,Unprovoked,spearfishing,M,32,Lacerations to  arm,N,1015,Not Determined,20100106,USA Florida Elliot Key,25.4396585,-80.2000596
1433,05-Jan-2010,Unprovoked,surfing,M,,"No injury, reportedly knocked of his board by a shark",N,9999,Not Determined,20100105,"SOUTH AFRICA Eastern Province Nahoon, East London",-32.9869161,27.9380809
1434,29-Dec-2009,Unprovoked,wading,M,20,Lacerations to  left foot,N,0830,Not Determined,20091229,SOUTH AFRICA Eastern Cape  Province Port Alfred,-33.5864065,26.8851448
1435,26-Dec-2009,Provoked,swimming,M,55,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,1100,Not Determined,20091226,AUSTRALIA New South Wales Avoca Beach,-33.47198350000001,151.4279522
1436,22-Dec-2009,Unprovoked,swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,1630,"Zambesi shark, 2m ",20091222,MOZAMBIQUE Maputo Province Ponta do Ouro,-26.8427388,32.8859972
1438,20-Dec-2009,Unprovoked,spearfishing,M,18,Lacerations to hand & forearm,N,0730,"Bull shark, 3m",20091220,AUSTRALIA Queensland Lamont Reef,-23.6013947,152.0308565
1439,18-Dec-2009,Unprovoked,paddling,M,22,FATAL,Y,1430,Not Determined,20091218,"SOUTH AFRICA Eastern Cape Province Second Beach, Port St. Johns",-31.6495797,29.5187464
1441,16-Dec-2009,Unprovoked,swimming,M,24,FATAL,Y,9999,"White shark, 2.8 to 3 m ",20091216,NEW ZEALAND South Island Clark Island,42.0074974,-70.63729409999999
1442,13-Dec-2009,Unprovoked,surfing,M,39,Laceration to big toe,N,0700,Not Determined,20091213,AUSTRALIA New South Wales Coffee Head,-33.8273374,151.2627488
1444,05-Dec-2009,Provoked,diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,1300,"Sandtiger shark, 8'",20091206,"USA New Jersey Adventure Aquarium, Camden",39.9460868,-75.1311712
1446,24-Nov-2009,Unprovoked,wading,M,10,Left foot bitten,N,0800,6' shark,20091124,"USA Florida Lori Wilson Park, Cocoa Beach, Brevard County",28.3371416,-80.60948499999999
1447,16-Nov-2009,Unprovoked,fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,1645,Thresher shark,20091116,"USA California Loch Lomond, Marin County",38.8632352,-122.7194335
1448,16-Nov-2009,Unprovoked,surfing,M,22,Foot bitten,N,0930,Not Determined,20091116,"USA Florida Jupiter, Palm Beach County",26.9372559,-80.07638469999999
1449,13-Nov-2009,Unprovoked,surfing,F,27,Foot bitten,N,1630,Not Determined,20091113,"USA Florida Jupiter, Palm Beach County",26.9372559,-80.07638469999999
1450,11-Nov-2009,Unprovoked,surfing,M,18,Foot bitten,N,1800,4' shark,20091111,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
1451,08-Nov-2009,Unprovoked,kayaking,M,25,Ankle bitten,N,1030,2 m shark,20091108,AUSTRALIA South Australia Second Valley,-35.5280516,138.2278711
1452,05-Nov-2009,Unprovoked,surfing,M,21,"No injury, board broken in half",N,9999,Not Determined,20091105,"USA California Davenport, Santa Cruz County",37.01352079999999,-122.1966597
1455,28-Oct-2009,Unprovoked,,F,17,"No injury, shark bit rear of paddleboard",N,0700,Not Determined,20091028,AUSTRALIA New South Wales Lennox Heads,-28.8,153.583333
1456,24-Oct-2009,Unprovoked,surfing,M,,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,1730,Not Determined,20091024,"USA California San Onofre, San Diego County ",33.3728077,-117.5656012
1457,19-Oct-2009,Unprovoked,surfing,M,54,Bitten on upper right thigh & right ankle,N,0600,6' to 8' shark,20091019,"USA Hawaii Kalama Park, Maui",20.7314382,-156.4529327
1458,18-Oct-2009,Unprovoked,wading,F,10,Arm & torso bitten,N,1500,Not Determined,20091018,PANAMA Bocas Playa La Cabaña ,9.349380199999999,-82.25499839999999
1459,17-Oct-2009,Provoked,diving,M,23,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,1445,Angel shark,20091017,SCOTLAND Fife Deep Sea World Aquarium,56.00824,-3.391282
1461,09-Oct-2009,Unprovoked,surfing,M,,Laceration to shin of left leg,N,1100,Not Determined,20091009,"USA California San Onofre State Beach, San Diego County",33.3728077,-117.5656012
1462,02-Oct-2009,Provoked,fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,1250,Spurdog,20091002,UNITED KINGDOM Devon Mewstone Rock,50.3,-4.1
1463,26-Sep-2009,Unprovoked,swimming,M,,Laceration to right foot,N,1730,"Bull shark, 8'",20090926,"USA Florida Key Colony Beach, Monroe County",24.7209744,-81.0186827
1466,13-Sep-2009,Provoked,no activity,M,34,Cause of death was drowning; his remains were scavenged by sharks,Y,9999,Not Determined,20090913,"BRAZIL Pernambuco Piedade, Recife",-8.1801557,-34.9203383
1468,07-Sep-2009,Unprovoked,attempting,M,15,FATAL,Y,1800,Not Determined,20090907,"BRAZIL Pernambuco Piedade, Recife",-8.1801557,-34.9203383
1470,01-Sep-2009,Provoked,fishing,M,,Injuries to face & neck PROVOKED INCIDENT,N,9999,Not Determined,20090901,"SOLOMON ISLANDS Makira-Ulawa Province Kirakira, Makira Island (formerly San Cristobal)",-10.4558259,161.9187146
1471,30-Aug-2009,Unprovoked,surfing,M,,No injury,N,1500,4' shark,20090830,"USA California Huntington Beach, Orange County",33.6594835,-117.9988026
1472,29-Aug-2009,Unprovoked,surfing,M,25,FATAL,Y,1530,White shark,20090829,SOUTH AFRICA Western Cape Province Glentana,-34.0476576,22.3144043
1473,25-Aug-2009,Unprovoked,swimming,F,22,Puncture wounds to left foot & calf,N,1630,"White shark, 5' to 6' juvenile ",20090825,"USA California Terramar Beach, Carlsbad, San Diego County",33.1280924,-117.3336884
1474,11-Aug-2009,Unprovoked,boarding,M,,"No injury, shark bit bodyboard",N,1200,"White shark, 2m",20090811,SOUTH AFRICA KwaZulu-Natal Alkantstrand ,-28.8011111,32.0961111
1475,10-Aug-2009,Unprovoked,swimming,M,26,Puncture marks on left foot,N,1900,Not Determined,20090810,"USA Florida Ponce, Volusia County",29.0963729,-80.9369983
1476,06-Aug-2009,Unprovoked,surfing,M,,"No injury, surfboard bitten",N,0845,"Tiger shark, 12",20090806,USA Hawaii Kawa'a ,19.8967662,-155.5827818
1477,01-Aug-2009,Unprovoked,fishing,M,56,Right ankle & foot bitten,N,1000,Bull shark?,20090801,"USA Louisiana Curlew Island, Breton Sound",29.6465938,-88.9686466
1478,31-July-2009,Unprovoked,spearfishing,M,14,Lacerations to calf,N,9999,Bull shark,20090731,BAHAMAS Abaco Islands Spanish Cay,26.9408454,-77.5268296
1479,30-Jul-2009,Unprovoked,surfing,M,14,Left forearm grazed & puncture marks in wetsuit,N,0615,Not Determined,20090730,AUSTRALIA New South Wales Broken Head,-28.7108362,153.5936066
1480,29-Jul-2009,Unprovoked,swimming,F,41,Foot bitten,N,1730,Not Determined,20090729,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1482,24-Jul-2009,Unprovoked,wading,F,14,Lacerations to anterior left lower leg,N,1800,Not Determined,20090724,USA Texas South Padre Island,26.1118401,-97.16812569999999
1484,22-Jul-2009,Unprovoked,swimming,F,26,Laceration to left foot,N,1500,Not Determined,20090722,USA North Carolina Holden Beach. Brunswick County,33.9139209,-78.26938849999999
1485,22-Jul-2009,Unprovoked,swimming,F,19,Laceration to lower right leg,N,1500,Not Determined,20090722,"USA Florida Intracoastal Waterway,      St. Petersburg",27.6937402,-82.7177341
1486,18-Jul-2009,Unprovoked,swimming,M,57,Severe bite to right leg,N,9999,Not Determined,20090718,VIETNAM Binh Dinh Province Quy Nhon ,13.7829673,109.2196634
1488,11-Jul-2009,Unprovoked,,M,,"No injury, shark collided with surfer & board",N,0830,5' shark,20090711,"USA California San Onofre, San Diego County ",33.3728077,-117.5656012
1489,07-Jul-2009,Unprovoked,surfing,M,37,Leg bitten,N,1115,Not Determined,20090707,"SOUTH AFRICA Western Cape Province Jogensfontein, Stilbaai",-34.4243738,21.3386579
