,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure,na_wind_speed
1,Unprovoked,surfing,M,6.0,Minor injury to right arm,N,1320,Not Determined,09-Sep-2021,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983,26.1,1.0,16.2,1012.5,False
2,Unprovoked,surfing,M,31.0,FATAL,Y,1030,White xhark,05-Sep-2021,AUSTRALIA New South Wales Emerald Beach,-30.1574794,153.1501948,13.6,4.6,20.4,1017.3,False
4,Unprovoked,boarding,M,,Lacerations both sides of lower leg immediately above the ankle,N,1145,Not Determined,28-Aug-2021,"USA Texas Galveston Island, Galveston County",29.241005,-94.9091329,29.4,2.5,10.4,1013.7,False
5,Unprovoked,fell,M,64.0,Severe injury to leg,N,1400,Not Determined,03-Sep-2021,USA Louisiana off Grand Isle,29.2366172,-89.9872941,27.2,3.9,5.1,1014.6,False
6,Unprovoked,surfing,M,41.0,Left ankle and foot bitten,N,0640,Bull shark,21-Aug-2021,"USA Florida Walton Beach Psrk, St. Lucie County",27.3378902,-80.23343059999999,28.9,0.2,11.0,1015.0,False
7,Unprovoked,swimming,F,21.0,Thigh injured,N,1700,Not Determined,13-Aug-2021,CANADA Nova Scotia Cape Breton Island,46.2486851,-60.851817,24.3,0.0,2.7,1015.0,False
8,Provoked,harassing,M,,"No Injury, jet ski bitten PROVOKED INCIDENT",N,9999,Not Determined,07-Aug-2021,AUSTRALIA Queensland North Stradbroke Island  ,-27.5323174,153.4626077,16.5,0.0,11.2,1024.3,False
9,Unprovoked,surfing,M,35.0,Minor cuts to right foot and ankle,N,1000,Not Determined,07-Aug-2021,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,26.2,16.8,6.6,1018.7,False
10,Unprovoked,snorkeling,M,15.0,Lacerations to legs,N,0751,Not Determined,07-Aug-2021,"USA Florida Key Largo, Monroe County",25.1877642,-80.360297,28.2,3.1,7.1,1018.8,False
11,Unprovoked,no activity,M,,Lacerations to lower body,N,1146,Blacktip shark,03-Aug-2021,"USA South Carolina Hilton Head Island, Beaufort County",32.216316,-80.752608,25.0,24.2,8.5,1014.1,False
12,Unprovoked,swimming,F,12.0,Lacerations and puncture wounds to lower left leg,N,1500,Blacktip shark,02-Aug-2021,"USA Maryland Ocean City, Worcester County",38.3365032,-75.0849058,22.2,0.0,9.2,1015.2,False
13,Provoked,fishing,M,47.0,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,N,1100,Not Determined,30-Jul-2021,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983,27.5,2.1,9.6,1017.0,False
14,Unprovoked,standing,M,15.0,Lower left leg bitten,N,1330,Not Determined,27-Jul-2021,USA North Carolina Wrightsville Beach,34.2085036,-77.7963709,29.0,0.0,10.1,1015.8,False
15,Unprovoked,surfing,M,58.0,Lower left leg bitten,N,9999,small blacktip shark,27-Jul-2021,"USA Georgia Tybee Island, Chatham County",32.0002152,-80.845666,27.3,7.6,9.4,1014.3,False
16,Provoked,fishing,M,34.0,Leg bitten when he jumped on the sharkPROVOKED INCIDENT,N,2030,"Sickelfin lemon shark, 3m",27-Jul-2021,AUSTRALIA Western Australia Varanus Island,-20.6516843,115.5784701,74.4,0.0,10.8,1013.7,False
17,Unprovoked,swimming,M,,Minor injury to calf ,N,1100,A small shark,26-Jul-2021,"USA New York Jones Beach, Nassau County",40.6106158,-73.4445392,26.5,8.7,8.8,1012.1,False
18,Unprovoked,squatting,M,32.0,Lacerations to poster thigh and buttock,N,9999,Not Determined,25-Jul-2021,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383,23.4,7.8,14.2,1016.4,False
19,Provoked,moving,M,55.0,Lacerations to lower right leg PROVOKED INCIDENT,N,9999,"Bull shark, +100kg",23-Jul-2021,THAILAND Chanthaburi Province Kung Krabaenbay Royal Département Study Center ,12.5717411,101.8990621,28.7,2.8,12.4,1008.0,False
20,Unprovoked,surfing,F,,No injury,N,9999,Not Determined,21-Jul-2021,"USA California Capitola Beach, Santa Cruz County",36.9716173,-121.9516263,15.6,0.0,7.5,1015.0,False
22,Unprovoked,surfing,M,,"No injury, knocked off board by shark",N,1230,"White shark, 3m",19-Jul-2021,AUSTRALIA Western Australia Rottnest Island,-32.004113,115.5151009,15.3,0.8,16.2,1019.2,False
23,Unprovoked,boarding,M,11.0,Leg bitten,N,1630,Not Determined,15-Jul-2021,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,26.7,0.8,10.8,1021.4,False
24,Unprovoked,surfing,M,38.0,Injuries to leg and torso,N,0707,Not Determined,14-Jul-2021,SOUTH AFRICA Eastern Cape Province Jeffrey's Bay,-34.0506714,24.9101544,50.6,0.94,8.4,1030.2,False
26,Unprovoked,playing,F,9.0,Right foot bitten,N,1639," Spinner shark, 4'?",10-Jul-20201,"USA Florida Bathtub Beach, Martin County",27.186242,-80.16036,26.5,1.9,9.5,1020.7,False
28,Unprovoked,wading,M,51.0,FATAL,Y,1350,Not Determined,10-Jul-20201,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383,24.3,2.6,11.1,1015.5,False
29,Unprovoked,surfing,M,25.0,Left forearm broken & lacerated,N,1630,Not Determined,05-Jul-2021,AUSTRALIA New South Wales Crescent Head,-31.1769749,152.9106663,8.4,0.0,5.3,1020.5,False
30,Unprovoked,standing,M,8.0,Puncture wound to calf,N,1600,2' to 3' shark,04-Jul-2021,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983,25.4,10.4,10.5,1015.1,False
33,Unprovoked,canoeing,M,15.0,Hand injured,N,0715,Not Determined,30-Jun-2021,"USA California Catalina Island, Orange County",33.3878856,-118.4163103,17.1,0.0,7.6,1013.7,False
35,Unprovoked,swimming,F,7.0,Calf bitten,N,1130,Not Determined,27-Jun-2021,"USA North Carolina Ocean Isle, Brunswick County",33.8877282,-78.4364471,26.5,0.1,11.8,1022.5,False
36,Unprovoked,swimming,M,38.0,Posterior right thigh bitten,N,0915,"White shark, 6' to 8'",26-Jun-2021,"USA California Gray Whale Beach Cove State Beach, San Mateo County",37.5645993,-122.5139689,13.8,0.0,15.4,1014.5,False
38,Unprovoked,surfing,M,25.0,Lacerations to calf and ankle,N,1400,Not Determined,23-Jun-2021,AUSTRALIA Western Australia Gum Tree Bay,-29.7844444,114.9622222,50.9,0.06,8.3,1025.7,False
39,Unprovoked,standing,M,12.0,Left arm bitten,N,1557,Not Determined,18-Jun-2021,"USA Florida Bethune Beach, Volusia County",28.9491539,-80.83783000000001,26.2,1.0,6.7,1018.2,False
40,Unprovoked,swimming,M,14.0,"""superficial injuries:",N,1430,7' to 8' shark ,17-Jun-2021,"USA Florida Grayton Beach State Park,   Walton County",30.3315271,-86.1571991,27.8,0.0,10.3,1015.1,False
41,Unprovoked,standing,M,12.0,Right calf bitten,N,9999,Not Determined,14-Jun-2021,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,24.6,17.7,9.0,1012.8,False
42,Unprovoked,standing,M,71.0,Minor injury to right foot,N,9999,Not Determined,14-Jun-2021,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,24.6,17.7,9.0,1012.8,False
43,Provoked,fishing,M,51.0,Calf bitten by hooked shark PROVOKED INCIDENT,N,9999,"Tope shark, 6'",12-Jun-2021,ENGLAND West Sussex Littlehampton,50.811057,-0.5386609,17.7,0.0,13.2,1023.3,False
44,Unprovoked,snorkeling,M,10.0,Foot bitten,N,1100,"Bronze whaler shark, 2 m",11-Jun-2021,AUSTRALIA Western Australia Five Fingers Reef,-23.1797459,113.7657069,68.5,0.0,4.9,1013.5,False
45,Provoked,spearfishing,M,,Presumed fatal  PROVOKED INCIDENT,Y,9999,Not Determined,25-May-2021,NEW CALEDONIA Nouville CHS Beach,-22.2576696,166.3914303,20.7,5.0,12.7,1014.7,False
46,Unprovoked,swimming,M,26.0,Minor injuries to foot and ankle,N,9999,5' shark,23-May-2021,"USA South Carolina Burkes Beach, Hilton Head, Beaufort County",32.1940526,-80.6976655,23.3,0.0,12.1,1022.9,False
47,Unprovoked,spearfishing,M,48.0,Lacerations to right hand and forearm,N,1120,Not Determined,21-May-2021,AUSTRALIA Western Australia Quondong Beach,-17.580385,122.1571309,75.3,0.0,4.3,1012.9,False
48,Unprovoked,surfing,M,59.0,FATAL,Y,1115,"White shark, 4.5 m",18-May-2021,AUSTRALIA New South Wales Turncurry Beach,-32.1521022,152.5052727,14.6,0.1,9.3,1027.2,False
49,Unprovoked,,M,35.0,2- to 3-inch cuts to posterior thigh,N,1645,5 to 8-ff shark,15-May-2021,"USA Hawaii Kanaha Beach Park, Maui",20.8996987,-156.4405938,23.9,0.3,21.2,1020.4,False
50,Unprovoked,wading,F,21.0,Nick on foot,N,1130,Not Determined,06-May-2021,"USA Florida Daytona Beach Shores, Volusia County",29.1760933,-80.9828323,25.2,3.6,8.6,1016.0,False
51,Unprovoked,surfing,M,14.0,Lacerations to shin and calf,N,1600,5.5 ft shark,03-May-2021,"USA Hawaii Marine Corps Base, Oahu",21.4433045,-157.7489524,24.3,0.0,14.0,1017.0,False
52,Unprovoked,spearfishing,M,53.0,FATAL,Y,0800,Not Determined,01-May-2021,"JAMAICA Westmoreland Parish Little Bay, Little London",18.2211586,-78.2689714,80.8,0.08,9.7,1014.1,False
53,Unprovoked,surfing,F,64.0,Foot bitten,N,0900,Not Determined,30-Apr-2021,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,24.6,0.0,9.8,1016.3,False
54,Unprovoked,boarding,M,54.0,Right leg bitten,N,1030,Not Determined,29-Apr-2021,"USA Florida Vero Beach, Indian River County",27.6399823,-80.39815159999999,26.4,0.0,20.8,1017.6,False
55,Unprovoked,canoeing,M,25.0,"No injury, canoe bitten",N,0815,Not Determined,24-Apr-2021,FRENCH POLYNESIA Tahiti Tautira,-17.7496214,-149.1611957,78.5,0.63,6.1,1012.1,False
57,Unprovoked,swimming,F,57.0,Puncture wound to knee,N,0856,Tiger shark,20-Apr-2021,USA Hawaii Kukio Bay,19.8219841,-155.9995173,25.7,0.0,14.7,1016.5,False
58,Unprovoked,no activity,M,,Laceration to foot,N,1540,Not Determined,19-Apr-2021,AUSTRALIA Western Australia Karratha,-20.7336955,116.8447057,27.1,0.0,9.7,1013.2,False
59,Provoked,tagging,Not Determined,,"No injury to occupants, shark bit boat after being tagged",N,9999,"Mako shark, 4 juvenile",17-Apr-2021,USA North Carolina Outer Banks,35.5584932,-75.4665158,15.7,0.0,11.9,1010.4,False
60,Unprovoked,spearfishing,M,38.0,Minor injury to head,N,1800,1.3m shark,14-Apr-2021,SOUTH AFRICA KwaZulu-Natal Mdloti,-29.666927,31.1180517,23.3,0.0,9.2,1017.4,False
61,Unprovoked,boarding,M,38.0,FATAL,Y,1100,White shark,13-Apr-2021,SOUTH AFRICA Eastern Cape Province Chintsa,-32.823269,28.1151939,74.8,0.0,6.5,1019.7,False
62,Unprovoked,swimming,M,36.0,1-inch cut to leg,N,9999,Not Determined,02-Apr-2021,"USA Florida Key Biscayne, Miami-Dade County",25.693713,-80.1628248,21.3,0.0,20.2,1019.4,False
63,Unprovoked,no activity,M,,Cuts to both feet,N,1300,Not Determined,30-Mar-2021,"USA Florida Vero Beach, Indian River County",27.6399823,-80.39815159999999,25.7,0.0,17.4,1021.0,False
64,Unprovoked,spearfishing,M,27.0,Injury to calf,N,1200,"Whaler or bull shark, 2m",27-Mar-2021,AUSTRALIA Western Australia Near Coral Bay,-23.1422976,113.7723112,81.4,0.0,11.1,1009.0,False
65,Unprovoked,swimming,M,10.0,Not Determined,N,9999,Not Determined,26-Mar-2021,FRENCH POLYNESIA Marquesas Ua Pou,-9.4042642,-140.0803953,82.7,0.0,10.5,1008.8,False
66,Unprovoked,no activity,F,16.0,"Injuries to hands, arm and knees",N,1145,3' to 5' shark,25-Mar-2021,USA Florida Indian River County,27.6947732,-80.54384499999999,23.9,0.0,18.8,1018.5,False
67,Unprovoked,swimming,M,7.0,Lacerations to right hand,N,9999,  ,25-Mar-2021,"USA Florida Fort Lauderdale, Broward County",26.1224386,-80.13731740000001,25.8,0.0,20.9,1018.7,False
68,Unprovoked,surfing,M,9.0,Left shoulder bitten,N,1400,Not Determined,21-Mar-2021,"USA Florida Miami Beach, Miami-Dade County",25.790654,-80.1300455,20.3,0.0,13.0,1017.1,False
69,Unprovoked,boarding,M,75.0,"No injury, board bitten",N,1500,"Blacktip whaler,      Carcharhinus tilstoni, 2m",20-Mar-2021,AUSTRALIA Western Australia Yallingup,-33.6726467,115.0308277,22.8,0.0,11.8,1014.3,False
70,Unprovoked,wading,M,20.0,Left forearm bitten,N,1800,"Blacktip shark, 6'",18-Mar-2021,"USA Florida Juno Beach, Palm Beach County",26.8797819,-80.0533743,23.7,0.6,16.2,1016.9,False
71,Unprovoked,spearfishing,M,16.0,Left leg bitten,N,1800,Tiger shark,02-Mar-2021,NEW CALEDONIA Loyalty Islands Ouvéa,-20.6543997,166.5353028,26.5,1.6,18.5,1007.9,False
73,Provoked,fishing,M,,Superficial wound       PROVOKED INCIDENT,N,1730,"Bull shark, 80cm",20-Feb-2021,AUSTRALIA Queensland Waterford West,-27.6860709,153.1205271,22.8,6.2,6.9,1010.7,False
74,Unprovoked,surfing,M,,"No injury, surfboard bitten",N,1630,Not Determined,06-Feb-2021,"USA Hawaii Waiokapua Bay, Kaui",22.0083333,-159.7791667,20.3,0.0,17.3,1013.9,False
77,Unprovoked,swimming,F,46.0,Puncture wounds to foot,N,1030,Not Determined,29-Jan-2021,"AUSTRALIA Western Australia Melaleuca Beach, Cowaramup Bay, Gracetown, ",-33.86060250000001,114.9857991,20.1,0.0,21.2,1017.4,False
78,Unprovoked,swimming,M,61.0,Minor puncture wound to arm,N,2000,Juvenile shark,27-Jan-2021,"NEW ZEALAND North Island Papamoa Beach, Bay of Plenty",-37.7329778,176.298309,20.5,0.0,8.9,1014.5,False
79,Unprovoked,swimming,M,58.0,Severe lacerations to left arm ,N,1500, ,23-Jan-2021,AUSTRALIA New South Wales Lake Macquarie,-33.0311225,151.5603244,25.5,0.0,11.7,1011.6,False
81,Unprovoked,snorkeling,M,73.0,Puncture wounds to left calf,N,0745,"8"" shark",22-Jan-2021,USA Hawaii Maui,20.7983626,-156.3319253,21.4,4.4,32.5,1016.8,False
82,Unprovoked,snorkeling,M,32.0,FATAL,Y,1700,White shark,21-Jan-2021,AUSTRALIA South Australia Port MacDonnell,-38.0521936,140.701759,21.0,0.0,11.0,1012.2,False
84,Unprovoked,swimming,M,54.0,Severe injury to leg and broken him,N,0758,"Bull shark, 6.5 to 10 '",13-Jan-2021,AUSTRALIA Western Australia Blackwall Reach,-32.0245847,115.7798646,24.6,0.0,19.4,1015.0,False
85,Unprovoked,swimming,M,7.0,Injury to leg,N,1740,Not Determined,11-Jan-2021,AUSTRALIA Victoria 13th Beach,-38.2852436,144.4587149,26.5,0.0,14.4,1009.5,False
86,Unprovoked,swimming,F,26.0,"Severe injury to left leg, resulting in amputation above the knee",N,0900,Not Determined,09-Jan-2021,ST KITTS / NEVIS The Narrows Booby Island,17.2333333,-62.6,25.6,0.4,20.8,1016.3,False
87,Unprovoked,swimming,F,19.0,FATAL,Y,1710,Not Determined,07-Jan-2021,"NEW ZEALAND North Island Waih?  Beach, Bay of Plenty",-37.4076175,175.9356284,70.4,0.0,5.5,1010.3,False
88,Unprovoked,surfing,M,19.0,"No injury, board damaged",N,1030,Not Determined,03-Jan-2021,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513,20.5,1.3,17.1,1017.7,False
89,Unprovoked,surfing,M,17.0,1.5 cut to ankle,N,1030,Not Determined,02-Jan-2021,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513,23.0,1.4,15.4,1020.1,False
90,Unprovoked,swimming,F,68.0,Significant injury to right lower leg,N,0800,Not Determined,02-Jan-2021,"USA Hawaii Anaehoomalu Bay
Waikoloa, Hawaii County",19.9161242,-155.8932242,76.1,0.0,7.6,1018.0,False
91,Unprovoked,swimming,M,,No injury. Swim fin bittten,N,1800,White shark,30-Dec-2020,"USA California Coronado, San Diego County",32.6858853,-117.1830891,12.0,0.0,5.0,1022.7,False
92,Unprovoked,fell,M,40.0,Injuries to leg,N,0936,Not Determined,23-Dec-2020,MALDIVES Raa Atoll Faadoo Island,5.8570104,72.99255889999999,82.1,0.28,8.3,1009.1,False
94,Unprovoked,surfing,M,,"No injury, Board bitten",N,0700,Not Determined,09-Dec-2020,AUSTRALIA Western Australia Cable Beach,-17.9319444,122.2080556,27.4,76.6,26.0,1001.6,False
95,Unprovoked,surfing,M,56.0,FATAL,Y,0745,"Tiger shark. 14'3""",08-Dec-2020,USA Hawaii Honolua Bay,21.0139474,-156.638533,24.8,0.0,15.8,1016.4,False
96,Unprovoked,surfing,M,20.0,Non-life-threatening to left lower leg & foot,N,1520,Not Determined,06-Dec-2020,"USA Oregon Seaside Cove, Clatsop County",45.97489880000001,-123.9424796,9.2,3.3,5.8,1029.1,False
98,Unprovoked,diving,F,42.0,Left shoulder bitten,N,9999,Oceanic whitetip shark,02-Dec-2020,EGYPT South Sinai Marsa Alam,27.9654198,34.3617769,20.7,0.0,7.8,1014.6,False
99,Unprovoked,snorkeling,F,35.0,Severe injury to torso,N,1400,Not Determined,26-Nov-2020,USA Hawaii Maui,20.7983626,-156.3319253,25.9,0.0,22.7,1018.3,False
100,Unprovoked,snorkeling,F,,Three 3-inch lacerations to thigh,N,9999,"Tiger shark, 4m ",23-Nov-2020,NEW CALEDONIA South Province St. Vincent Bay,-21.9650203,166.1203982,24.2,,14.8,1011.0,False
101,Unprovoked,boarding,M,59.0,FATAL,Y,0840,Bull shark,22-Nov-2020,AUSTRALIA Western Australia Cable Beach,-17.9319444,122.2080556,30.7,0.0,14.0,1008.7,False
102,Unprovoked,surfing,M,13.0,"Minor injury to left foot, leg and finger",N,0600,Not Determined,02-Nov-2020,"AUSTRALIA New South Wales Town Beach, Port Macquarie",-31.42946499999999,152.9193046,64.3,0.04,5.9,1023.1,False
103,Unprovoked,swimming,M,17.0,Minor injuries,N,1600,"Blacktip shark, 6' to 7'",31-Oct-2020,USA Florida Ormond Beach,29.2858129,-81.0558894,21.7,0.0,10.4,1020.0,False
104,Unprovoked,spearfishing,M,,Hand/wrist bitten,N,9999,"""Reef shark""",30-Oct-2020,BAHAMAS  Grand Bahama Island East End Point,26.5358584,-77.8447886,82.0,0.0,12.2,1014.6,False
105,Unprovoked,surfing,M,,Hand bitten,N,1300,Not Determined,29-Oct-2020,"USA Franklin County, Florida St George Island",29.6584899,-84.8802444,25.6,,27.4,,False
106,Unprovoked,snorkeling,Not Determined,,"Boy lost arm, dive guide lost leg, ",N,9999,Not Determined,25-Oct-2020,"EGYPT South Sinai Shark Reef, Ras Muhammed",27.7420043,34.2347743,28.1,0.0,8.9,1009.0,False
107,Unprovoked,spearfishing,M,59.0,Severe injury to thigh,N,1200,Not Determined,24-Oct-2020,AUSTRALIA Queensland Britomart Reef,-18.2348869,146.7342041,78.7,0.02,11.5,1011.5,False
109,Unprovoked,surfing,M,52.0,FATAL,Y,1045,4m shark,09-Oct-2020,AUSTRALIA Western Australia Kelp Beds Beach (Kelpies),-27.6728168,121.6283098,72.8,0.0,7.0,1013.0,False
110,Unprovoked,surfing,M,31.0,Laceration to lower leg,N,1800,Blacktip shark,07-Oct-2020,"USA Florida Miami Beach, Miami-Dade County",25.790654,-80.1300455,29.0,0.0,19.8,1014.1,False
111,Unprovoked,surfing,M,17.0,"No injury, knocked off board when shark grabbed his leg rope",N,1045,Bronze whaler 1.5m,04-Oct-2020,"AUSTRALIA Western Australia Toms Surf break, Hamersley Pool, North Beach, Perth",-31.862616,115.7520862,13.6,3.8,11.2,1030.6,False
112,Provoked,no activity,M,,Minor lacerations to right foot when he stepped on the shark PROVOKED INCIDENT,N,9999,Small nurse shark,29-Sep-2020,USA Florida Near Key Largo,25.0865151,-80.4472802,82.6,0.0,4.3,1012.1,False
114,Unprovoked,snorkeling,M,30.0,Severe bite to shoulder,N,1030,Bull shark,20-Sep-2020,"USA Florida Sombero Key Light, Monroe County",24.6922645,-81.0855026,29.5,0.0,6.2,1012.3,False
115,Provoked,fishing,M,50.0,Arm bitten by hooked shark PROVOKED INCIDENT,N,1600,"""whitetip shark""",17-Sep-2020,AUSTRALIA Queensland Fraser Island,-25.2398229,153.1325243,67.0,0.0,7.4,1022.8,False
116,Unprovoked,,M,,"No injury, board bitten",N,1800,White shark,16-Sep-2020,AUSTRALIA New South Wales Cabarita Beach,-28.3289849,153.5698,18.3,0.0,10.0,1025.2,False
118,Unprovoked,surfing,M,15.0,Cuts to right hand and wrist,N,1045,Not Determined,15-Sep-2020,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983,26.8,0.0,3.6,1016.4,False
119,Unprovoked,surfing,M,25.0,Left arm bitten,N,0815,Not Determined,15-Sep-2020,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,27.9,0.5,10.1,1015.8,False
121,Unprovoked,surfing,M,46.0,FATAL,Y,1700,"White shark, 3m",07-Sep-2020,"AUSTRALIA Queensland Greenmount Beach, Coolangatta",-28.1639838,153.547601,18.6,2.4,17.1,1028.9,False
122,Unprovoked,snorkeling,F,70.0,Ankle bitten,N,1630,8' shark,06-Sep-2020,USA Hawaii Puako,19.975,-155.8438889,28.6,0.0,10.7,1015.6,False
125,Unprovoked,surfing,M,12.0,Injury to right foot and ankle,N,1130,Not Determined,30-Aug-2020,"USA South Carolina Folly Beach, Charleston County",32.6551798,-79.94036729999999,28.1,11.9,9.4,1010.0,False
126,Unprovoked,fishing,M,,"No injury, kayak damaged",N,1800,White shark,28-Aug-2020,"USA California Shelter Cove, Humboldt County",40.0304212,-124.0730866,55.4,0.0,7.0,1011.5,False
127,Unprovoked,standing,M,23.0,Minor injury to foot,N,1500,Not Determined,23-Aug-2020,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,27.7,0.0,10.8,1016.5,False
128,Unprovoked,surfing,M,14.0,Lacerations to sole of left foot,N,0800,4' to 5' shark,22-Aug-2020,"USA Florida St. Augustine Beach, Anastasia Island, St. Johns County",29.8439828,-81.2711546,26.5,,5.8,1016.1,False
129,Unprovoked,boarding,F,50.0,Minor lacerations to left leg,N,1100,Not Determined,20-Aug-2020,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,26.3,0.0,6.8,1013.1,False
131,Unprovoked,surfing,F,35.0,Lacerations to right calf and posterior thigh,N,0930,"White shark, 2-to 3m",14-Aug-2020,"AUSTRALIA New South Wales Shelly Beach, Port Macquarie",-31.4540324,152.9314408,61.4,0.04,3.9,1014.5,False
132,Provoked,fishing,M,55.0,Injury to left forearm by hooked shark PROVOKED INCIDENT,N,1600,"Blacktip shark, 6'",10-Aug-2020,"USA Florida Off Gasparilla Island, Charlotte County",26.7519472,-82.2624037,27.7,,8.9,1018.8,False
133,Unprovoked,snorkeling,F,,Lacerations to hand and wrist,N,1400,"Nurse shark, 5'",02-Aug-2020,"USA Virgin Islands Candle Reef, St. Croix",17.7613587,-64.6518801,28.4,3.2,9.2,1014.4,False
134,Unprovoked,surfing,F,22.0,Lacerations to foot ,N,1700,Not Determined,31-Jul-2020,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,27.3,0.0,7.2,1016.4,False
135,Unprovoked,swimming,M,14.0,Lacerations to foot and toes,N,1300,Blacktip or Spinner shark,31-Jul-2020,"USA Alabama Orange Beach, Baldwin County",30.2697033,-87.5867598,29.2,0.0,14.0,,False
136,Unprovoked,surfing,M,28.0,Lacerations to leg,N,1415,"White shark, 4m",31-Jul-2020,AUSTRALIA Western Australia Bunker Bay Beach,-33.543638,115.030785,56.7,0.04,10.5,1021.6,False
137,Unprovoked,diving,M,38.0,Lower leg bitten,N,9999,"Lemon shark, 8'",29-Jul-2020,USA Florida Florida Keys,25.0273356,-81.5357506,87.5,0.0,11.3,1018.1,False
139,Unprovoked,swimming,M,4.0,Leg bitten,N,1800,"Blacktip reef shark, juvenile",27-Jul-2020,FRENCH POLYNESIA Tuamotu Islands Tikehau,-15.0083959,-148.1757902,,0.0,,,False
140,Unprovoked,swimming,F,63.0,FATAL,Y,1559,"White shark, 11'?",27-Jul-2020,"USA Maine Bailey Island, Cumberland County",43.7366927,-69.9940654,28.8,0.3,11.9,1005.2,False
141,Unprovoked,spearfishing,M,23.0,Lacerations to legs,N,1200,"Reef shark, 5' to 6 '",23-Jul-2020,USA Bahamas Spanish Cay,26.9408454,-77.5268296,83.0,0.13,19.1,1021.1,False
142,Unprovoked,standing,M,11.0,Foot bitten,N,9999,Not Determined,23-Jul-2020,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,27.4,0.8,7.2,,False
143,Unprovoked,treading,M,,Left calf & foot bitten,N,1730,Bull shark. 6.5',22-Jul-2020,"USA North Carolina Neuse River, Craven County",35.0877672,-77.0564464,28.7,0.0,11.2,1019.6,False
144,Unprovoked,wading,F,12.0,Right leg bitten,N,1800,Not Determined,19-Jul-2020,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513,29.5,0.0,16.7,1017.7,False
145,Unprovoked,fishing,M,10.0,"Lacerations to arm, head & chest",N,1330,White shark,17-Jul-2020,AUSTRALIA Tasmania Off Stanley,-40.7597041,145.2960121,41.9,0.02,7.7,1023.2,False
146,Unprovoked,wading,F,14.0,Severe bite to right foot,N,9999,"Bull shark, 4' to 6'",14-Jul-2020,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,27.6,8.9,10.8,,False
147,Unprovoked,snorkeling,F,29.0,Injury to lower left leg and ankle,N,1145,2 m shark,13-Jul-2020,AUSTRALIA Queensland Fitzroy Island,-16.9336669,145.9943465,22.2,0.0,14.6,1015.4,False
148,Unprovoked,surfing,M,15.0,FATAL,Y,1430,"White shark, 2.5 m",11-Jul-2020,AUSTRALIA New South Wales Wilsons Headland,-29.82553459999999,153.289463,58.2,0.02,2.2,1018.9,False
149,Unprovoked,surfing,F,15.0,Minor injury to right foot,N,0800,Not Determined,10-Jul-2020,"USA Florida Cocoa Beach, Brevard  County",28.3200067,-80.6075513,83.6,0.43,9.6,1014.1,False
150,Unprovoked,spearfishing,M,36.0,FATAL,Y,1400,Not Determined,04-Jul-2020,AUSTRALIA Queensland Fraser Island,-25.2398229,153.1325243,59.5,0.01,8.3,1020.2,False
151,Unprovoked,playing,M,7.0,Cuts to lower leg,N,9999,Juvenile bull shark?,22-Jun-2020,"USA Florida Homestead, Miami-Dade County",25.4687224,-80.4775569,28.3,0.0,7.2,1018.5,False
152,Unprovoked,surfing,M,16.0,Injury to thigh,N,1600,Not Determined,20-Jun-2020,"USA North Carolina Salvo, Dare County",35.54018,-75.4729347,23.9,5.1,9.4,1017.0,False
153,Unprovoked,no activity,Not Determined,,Not Determined,N,9999,Not Determined,20-Jun-2020,"BAHAMAS Exumas Pig Beach, Pig Island",24.183611,-76.456389,82.2,0.0,7.7,1018.0,False
154,Unprovoked,,F,,"No inury, ski damaged",N,1400,Not Determined,16-Jun-2020,SOUTH AFRICA KwaZulu-Natal Umhlanga Rocks,-29.7330347,31.0592806,15.0,0.0,10.8,1033.7,False
155,Unprovoked,windsurfing,M,30.0,FATAL,Y,1800,Tiger shark,10-Jun-2020,"NEW CALEDONIA South Province Plateau de Ricaudy, Nouméa",-22.3124345,166.4540133,21.7,,22.5,1018.5,False
