,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure,na_wind_speed
5279,Unprovoked,swimming,M,14.0,"FATAL, taken by shark, body not recovered. Twenty months later, in October 1937, meshing (setting anti-shark gill nets) began  at metropolitan beaches",Y,1500,White shark,04-Feb-1936,"AUSTRALIA New South Wales South Steyne, Manly",-33.7985672,151.2889614,,0.0,,,True
5280,Unprovoked,heard,M,13.0,FATAL ,Y,1800,White shark,22-Jan-1936,"AUSTRALIA South Australia West Beach, near Adelaide",-34.9453027,138.5044354,,0.0,,,True
5282,Provoked,paddleskiing,M,,"He tried to hit shark with paddle, shark bumped  ski  PROVOKED INCIDENT",N,9999,2.3 m [7'] shark,Jan-1936,AUSTRALIA New South Wales North Bondi,-33.8857289,151.280712,,,,,True
5283,Unprovoked,swimming,M,,FATAL ,Y,9999,Not Determined,1936,"AUSTRALIA Victoria  Port Phillip Bay, Port Melbourne",-37.8464983,144.9666905,,,,,True
5284,Provoked,cruising,Not Determined,,"Harpooned shark stove in bow (20"" x 10"" hole), boat sank PROVOKED INCIDENT",N,9999,4.3 m [14'] shark,23-Dec-1935,AUSTRALIA Victoria 150 yards from the pier at Lorne,-38.548281,143.986481,,,,,True
5285,Unprovoked,,M,20.0,Back & arm gashed but survived,N,9999,Not Determined,13-Nov-1935,AUSTRALIA Torres Strait Barrier Reef near Innisfail,-10.3333333,142.5,,,,,True
5288,Unprovoked,fell,M,38.0,"FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn",Y,1500,3.7 m [12'] shark,26-Aug-1935,"AUSTRALIA Queensland At Flat Top, near Mackay",-21.1624279,149.2456083,,0.8,,,True
5290,Unprovoked,diving,M,,"FATAL, right buttock & thigh bitten ",Y,9999,Not Determined,13-Aug-1935,"AUSTRALIA Torres Strait Near Warrior Reefs, Queensland",-9.5833333,143.1666667,,,,,True
5294,Unprovoked,swimming,F,22.0,FATAL,Y,1500,Not Determined,01-Jul-1935,"CROATIA Adriatic Sea Susak / Fiume (Rijeka, Istria)",45.3270631,14.442176,,,,,True
5298,Unprovoked,no activity,Not Determined,,"Samoan missionary, Filemani, caught an 8'6"" shark after it had killed 1 man & 2 boys in space of few weeks",N,9999,Not Determined,Jun-1935,"PAPUA NEW GUINEA Northern (Oro) Province Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",-9.5221451,150.6749653,,,,,True
